Cod,Cep,Nivel,Sigla,Idade,Total,Homens_total,Mulheres_total,Branca_Total,Branca_Homens,Branca_Mulheres,Preta_Total,Preta_Homens,Preta_Mulheres,Amarela_Total,Amarela_Homens,Amarela_Mulheres,Parda_Total,Parda_Homens,Parda_Mulheres,Indigena_Total,Indigena_Homens,Indigena_Mulheres,Total_Alfabetizadas,Homens_Alfabetizadas,Mulheres_Alfabetizadas,Branca_Total_Alfabetizadas,Branca_Homens_Alfabetizadas,Branca_Mulheres_Alfabetizadas,Preta_Total_Alfabetizadas,Preta_Homens_Alfabetizadas,Preta_Mulheres_Alfabetizadas,Amarela_Total_Alfabetizadas,Amarela_Homens_Alfabetizadas,Amarela_Mulheres_Alfabetizadas,Parda_Total_Alfabetizadas,Parda_Homens_Alfabetizadas,Parda_Mulheres_Alfabetizadas,Indigena_Total__Alfabetizadas,Indigena_Homens_Alfabetizadas,Indigena_Mulheres_Alfabetizadas,Total_Nao_Alfabetizadas,Homens_Nao_Alfabetizadas,Mulheres_Nao_Alfabetizadas,Branca_Total_Nao_Alfabetizadas,Branca_Homens_Nao_Alfabetizadas,Branca_Mulheres_Nao_Alfabetizadas,Preta_Total_Nao_Alfabetizadas,Preta_Homens_Nao_Alfabetizadas,Preta_Mulheres_Nao_Alfabetizadas,Amarela_Total_Nao_Alfabetizadas,Amarela_Homens_Nao_Alfabetizadas,Amarela_Mulheres_Nao_Alfabetizadas,Parda_Total_Nao_Alfabetizadas,Parda_Homens_Nao_Alfabetizadas,Parda_Mulheres_Nao_Alfabetizadas,Indigena_Total__Nao_Alfabetizadas,Indigena_Homens_Nao_Alfabetizadas,Indigena_Mulheres_Nao_Alfabetizadas,Total_Alfabetizados_Perct,Ranking
-,Brasil,BR,BR,Total,162951495,78066714,84884781,71323919,33185762,38138157,17724520,9010965,8713555,753926,351782,402144,72315015,35107041,37207974,824634,405666,418968,151547694,72201119,79346575,68230928,31687364,36543564,15927141,8044704,7882437,735125,343117,392008,65953388,31775413,34177975,692183,345363,346820,11403801,5865595,5538206,3092991,1498398,1594593,1797379,966261,831118,18801,8665,10136,6361627,3331628,3029999,132451,60303,72148,93.00%,
-,Rondônia,UF,RO,Total,1233044,610681,622363,377505,182204,195301,119320,66437,52883,3648,1654,1994,721272,354657,366615,11268,5716,5552,1153509,571311,582198,357346,172801,184545,107642,60019,47623,3521,1592,1929,675199,331809,343390,9774,5078,4696,79535,39370,40165,20159,9403,10756,11678,6418,5260,127,62,65,46073,22848,23225,1494,638,856,93.55%,
-,Acre,UF,AC,Total,608858,302193,306665,125551,59786,65765,58888,32905,25983,1541,649,892,407137,200914,206223,15733,7935,7798,535023,262400,272623,113838,53531,60307,49190,27266,21924,1393,579,814,358663,174567,184096,11932,6454,5478,73835,39793,34042,11713,6255,5458,9698,5639,4059,148,70,78,48474,26347,22127,3801,1481,2320,87.87%,
-,Amazonas,UF,AM,Total,2866187,1418417,1447770,521562,243879,277683,163443,95572,67871,5025,2383,2642,1989409,981809,1007600,186650,94727,91923,2667211,1314789,1352422,495784,230809,264975,147214,85846,61368,4871,2326,2545,1865164,915632,949532,154089,80135,73954,198976,103628,95348,25778,13070,12708,16229,9726,6503,154,57,97,124245,66177,58068,32561,14592,17969,93.06%,
-,Roraima,UF,RR,Total,450499,224943,225556,93224,44491,48733,40304,23173,17131,640,289,351,264619,131286,133333,50996,25314,25682,419303,207960,211343,89807,42551,47256,36984,20998,15986,609,272,337,251587,123740,127847,39649,20051,19598,31196,16983,14213,3417,1940,1477,3320,2175,1145,31,17,14,13032,7546,5486,11347,5263,6084,93.08%,
-,Pará,UF,PA,Total,6129189,3036421,3092768,1163952,553529,610423,665400,364118,301282,10501,4619,5882,4245912,2092223,2153689,42526,21291,21235,5592512,2732601,2859911,1087431,512805,574626,587798,316960,270838,10029,4382,5647,3871012,1879567,1991445,35424,18317,17107,536677,303820,232857,76521,40724,35797,77602,47158,30444,472,237,235,374900,212656,162244,7102,2974,4128,91.24%,
-,Amapá,UF,AP,Total,535583,263294,272289,108456,50327,58129,70433,38446,31987,610,275,335,349737,171012,178725,6336,3227,3109,500941,245394,255547,103225,47821,55404,64953,35156,29797,585,262,323,326462,159166,167296,5705,2982,2723,34642,17900,16742,5231,2506,2725,5480,3290,2190,25,13,12,23275,11846,11429,631,245,386,93.53%,
-,Tocantins,UF,TO,Total,1160474,577912,582562,266975,130833,136142,167683,91048,76635,2842,1199,1643,711776,349278,362498,11152,5527,5625,1055334,519406,535928,249731,121498,128233,144574,77338,67236,2672,1120,1552,648898,314500,334398,9418,4927,4491,105140,58506,46634,17244,9335,7909,23109,13710,9399,170,79,91,62878,34778,28100,1734,600,1134,90.94%,
-,Maranhão,UF,MA,Total,5131119,2491137,2639982,1023614,481473,542141,717933,370674,347259,5453,2255,3198,3352006,1620941,1731065,31974,15726,16248,4358810,2066556,2292254,904682,418656,486026,579376,292085,287291,4819,1950,2869,2846680,1341900,1504780,23133,11908,11225,772309,424581,347728,118932,62817,56115,138557,78589,59968,634,305,329,505326,279041,226285,8841,3818,5023,84.95%,
-,Piauí,UF,PI,Total,2589265,1252442,1336823,573721,270295,303426,345853,180918,164935,2656,1108,1548,1662037,797658,864379,4948,2432,2516,2143217,1006760,1136457,494471,228618,265853,268335,136429,131906,2133,852,1281,1374346,638956,735390,3891,1880,2011,446048,245682,200366,79250,41677,37573,77518,44489,33029,523,256,267,287691,158702,128989,1057,552,505,82.77%,
