Cod,Cep,Nivel,UF,Area,Densidade
5200050,Abadia de Goiás,MU,GO,143.357,133.43
3100104,Abadia dos Dourados,MU,MG,880.461,7.12
5200100,Abadiânia,MU,GO,1044.555,16.5
3100203,Abaeté,MU,MG,1817.067,12.48
1500107,Abaetetuba,MU,PA,1610.654,98.21
2300101,Abaiara,MU,CE,180.833,55.51
2900108,Abaíra,MU,BA,538.677,13.55
2900207,Abaré,MU,BA,1604.923,10.99
4100103,Abatiá,MU,PR,228.717,31.66
4200051,Abdon Batista,MU,SC,237.517,10.94
1500131,Abel Figueiredo,MU,PA,614.131,9.99
4200101,Abelardo Luz,MU,SC,953.992,18.23
3100302,Abre Campo,MU,MG,470.551,29.6
2600054,Abreu e Lima,MU,PE,126.384,779.07
1700251,Abreulândia,MU,TO,1906.295,1.35
3100401,Acaiaca,MU,MG,101.886,38.37
2100055,Açailândia,MU,MA,5805.159,18.35
2900306,Acajutiba,MU,BA,181.475,76.02
1500206,Acará,MU,PA,4344.384,13.59
2300150,Acarape,MU,CE,130.002,107.9
2300200,Acaraú,MU,CE,842.471,77.47
2400109,Acari,MU,RN,608.466,17.42
2200053,Acauã,MU,PI,1280.838,5.01
4300034,Aceguá,MU,RS,1551.339,2.69
2300309,Acopiara,MU,CE,2254.279,19.95
5100102,Acorizal,MU,MT,850.763,5.89
12,Acre,UF,AC,164173.429,5.06
27,Alagoas,UF,AL,27830.661,112.38
16,Amapá,UF,AP,142470.762,5.15
13,Amazonas,UF,AM,1559255.881,2.53
29,Bahia,UF,BA,564760.429,25.04
23,Ceará,UF,CE,148894.447,59.07
53,Distrito Federal,UF,DF,5760.784,489.06
32,Espírito Santo,UF,ES,46074.448,83.21
52,Goiás,UF,GO,340242.859,20.74
21,Maranhão,UF,MA,329651.496,20.56
51,Mato Grosso,UF,MT,903208.361,4.05
50,Mato Grosso do Sul,UF,MS,357142.082,7.72
31,Minas Gerais,UF,MG,586513.983,35.02
15,Pará,UF,PA,1245870.704,6.52
25,Paraíba,UF,PB,56467.242,70.39
41,Paraná,UF,PR,199298.981,57.42
26,Pernambuco,UF,PE,98067.877,92.37
22,Piauí,UF,PI,251755.481,12.99
33,Rio de Janeiro,UF,RJ,43750.425,366.97
24,Rio Grande do Norte,UF,RN,52809.599,62.54
43,Rio Grande do Sul,UF,RS,281707.151,38.63
11,Rondônia,UF,RO,237754.172,6.65
14,Roraima,UF,RR,223644.53,2.85
42,Santa Catarina,UF,SC,95730.69,79.5
35,São Paulo,UF,SP,248219.485,178.92
28,Sergipe,UF,SE,21938.188,100.74
17,Tocantins,UF,TO,277423.627,5.45
1200013,Acrelândia,MU,AC,1811.613,7.74
5200134,Acreúna,MU,GO,1566.742,13.77
2400208,Açu,MU,RN,1303.442,43.34
3100500,Açucena,MU,MG,815.422,10.97
3500105,Adamantina,MU,SP,411.987,84.19
5200159,Adelândia,MU,GO,115.385,19.91
3500204,Adolfo,MU,SP,211.055,20.62
4100202,Adrianópolis,MU,PR,1349.311,4.64
2900355,Adustina,MU,BA,629.099,22.57
2600104,Afogados da Ingazeira,MU,PE,377.696,106.54
2400307,Afonso Bezerra,MU,RN,576.179,18.81
3200102,Afonso Cláudio,MU,ES,941.188,32.6
2100105,Afonso Cunha,MU,MA,371.338,16.55
2600203,Afrânio,MU,PE,1490.594,12.53
1500305,Afuá,MU,PA,8338.438,4.53
2600302,Agrestina,MU,PE,200.369,118.68
2200103,Agricolândia,MU,PI,112.392,43.95
4200200,Agrolândia,MU,SC,206.815,53.14
4200309,Agronômica,MU,SC,129.774,46.66
1500347,Água Azul do Norte,MU,PA,7113.955,2.54
3100609,Água Boa,MU,MG,1320.344,9.53
5100201,Água Boa,MU,MT,7549.308,3.87
2700102,Água Branca,MU,PI,96.843,181.46
2500106,Água Branca,MU,PB,241.662,38.63
2200202,Água Branca,MU,AL,468.229,40.6
5000203,Água Clara,MU,MS,7781.558,2.15
3100708,Água Comprida,MU,MG,492.167,4.28
4200408,Água Doce,MU,SC,1319.137,4.93
2100154,Água Doce do Maranhão,MU,MA,442.292,27.45
3200169,Água Doce do Norte,MU,ES,473.729,25.42
2900405,Água Fria,MU,BA,742.775,19.52
5200175,Água Fria de Goiás,MU,GO,2023.636,2.45
5200209,Água Limpa,MU,GO,458.836,4.05
2400406,Água Nova,MU,RN,50.684,58.12
2600401,Água Preta,MU,PE,531.935,49.74
4300059,Água Santa,MU,RS,291.503,13.42
3500303,Aguaí,MU,SP,474.554,67.58
3100807,Aguanil,MU,MG,232.091,18.77
2600500,Águas Belas,MU,PE,885.988,46.89
3500402,Águas da Prata,MU,SP,142.673,51.65
4200507,Águas de Chapecó,MU,SC,139.511,43.27
3500501,Águas de Lindóia,MU,SP,60.126,298.21
3500550,Águas de Santa Bárbara,MU,SP,404.463,17.74
3500600,Águas de São Pedro,MU,SP,3.612,769.66
3100906,Águas Formosas,MU,MG,820.079,22.5
4200556,Águas Frias,MU,SC,76.631,37.05
5200258,Águas Lindas de Goiás,MU,GO,191.817,1176.61
4200606,Águas Mornas,MU,SC,326.66,20.64
3101003,Águas Vermelhas,MU,MG,1256.607,11.17
4300109,Agudo,MU,RS,534.624,30
3500709,Agudos,MU,SP,966.708,38.98
4100301,Agudos do Sul,MU,PR,192.261,53.22
3200136,Águia Branca,MU,ES,454.448,21.37
2500205,Aguiar,MU,PB,351.607,14.23
1700301,Aguiarnópolis,MU,TO,236.792,18.99
3101102,Aimorés,MU,MG,1348.913,18.73
