,latitude,longitude,title,content,image,image_desc
130,50.77615,6.08378,Aachen Town Hall,,../images/unknown_place.png,Unknown Photo
1,51.44515,5.47486,Address of Jan Gies in Eindhoven,,../images/unknown_place.png,Unknown Photo
111,52.35484,4.884482,Address where Barbara Ledermann was in hiding,,../images/unknown_place.png,Unknown Photo
2,52.374584,4.894688,Adviesbureau Goslar en Ledermann (Goslar & Ledermann Consultancy),"<p>They provided advice in economic, financial and legal matters to German Jews.<sup data-footnote-id=""7mrkt""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""7mrkt"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie Rian Verhoeven, <em>Anne Frank was niet alleen: het Merwedeplein, 1933-1945</em>, Amsterdam: Prometheus, 2019, p. 33.</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
3,51.91739,4.48478,American consulate in Rotterdam,"<p>The application process was difficult and lengthy for German emigrants, as they had to collect all kinds of data in their country of birth. Moreover, rising tensions between the United States and Germany forced all US consulates in occupied territory to close <strong>in early July 1941</strong>. On <strong>10 July</strong>, the consul in Rotterdam reported to the State Department that he had destroyed the visa stamps as instructed.</p>",https://research.annefrank.org/media/NL-RtSA_4029_PBK-574-01.jpg,"Wijnhaven, Rotterdam. Het gebouw in het midden is het Amerikaanse consulaat; de Stars and Stripes-vlag hangt uit.."
4,52.373419,4.893036,Amsterdam,"<p>During the <strong>1930s</strong>, all the protagonists of the hiding in the Secret Annex gathered in the city: the Frank and Van Pels families, and Fritz Pfeffer. Apart from the commuter Kugler, all were also living there. Miep Gies had lived there since <strong>1924</strong>.</p>

<p>Since <strong>1923</strong>, Amsterdam was the location of several businesses of Otto Frank and his family. It was the birthplace of Jan Gies and Bep Voskuijl.<sup data-footnote-id=""skchv""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""skchv"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Voor een overzicht van honderden adressen in Amsterdam die op de een of andere manier een rol speelden tijdens de Tweede Wereldoorlog, zie&nbsp;Bianca Stigter,&nbsp;<em>Atlas van een bezette stad: Amsterdam 1940-1945</em>, Amsterdam: Atlas Contact, 2019.</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
134,52.378494,4.900181,Amsterdam Central Station,"<p>After liberation, most survivors returned via Amsterdam Central Station. There was a special repatriation centre for registration, medical control and political control at the station.<sup data-footnote-id=""r6oi9""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""r6oi9"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie verder:&nbsp;Bianca Stigter, <em>Atlas van een bezette stad: Amsterdam 1940-1945</em>, Amsterdam: Atlas Contact, 2019, p. 103.</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
131,52.37098,4.89523,Amsterdam City Hall,,../images/unknown_place.png,Unknown Photo
5,52.348413,4.884287,Apollohal (Apollo Hall),"<p>The building opened in&nbsp;<strong>1934</strong>&nbsp;and was used for exhibitions, sporting events and meetings for many years.<sup data-footnote-id=""my3js""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<p>Political meetings of all kinds were held there. Following the Nuremberg Laws, the Committee for Special Jewish Interests held a protest meeting in the Apollo Hall on <strong>19 September 1935</strong>.<sup data-footnote-id=""7pa01""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup> The hall also hosted the NSB party after the lost elections of <strong>1937</strong><sup data-footnote-id=""3x7w5""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup>, and &#39;Unity through Democracy&#39; with W. Schermerhorn.<sup data-footnote-id=""fyjj5""><a href=""#footnote-4"" id=""footnote-marker-4-1"" rel=""footnote"">[4]</a></sup></p>

<p>In <strong>1940</strong>, the ice rink of the &#39;N.V. Sportfondsen Kunstijsbaan&#39; at Linnaeusstraat was transferred to the Apollo Hall, and remained in use there until <strong>1949 </strong>.<sup data-footnote-id=""yctjw""><a href=""#footnote-5"" id=""footnote-marker-5-1"" rel=""footnote"">[5]</a></sup></p>

<p>On <strong>13 December 1940</strong>, Anne wrote&nbsp;to her grandmother that she goes skating at the Ice Rink in the Apollo Hall.<sup data-footnote-id=""crda7""><a href=""#footnote-6"" id=""footnote-marker-6-1"" rel=""footnote"">[6]</a></sup> On <strong>13 January 1941</strong>, she wrote: &quot;<em>I spend every free minute at the&nbsp;Ice Rink.&quot;</em><sup data-footnote-id=""523p1""><a href=""#footnote-7"" id=""footnote-marker-7-1"" rel=""footnote"">[7]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""my3js"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie <a href=""https://en.wikipedia.org/wiki/Apollohal"" target=""_blank"">https://en.wikipedia.org/wiki/Apollohal</a> (geraadpleegd maart 2012).</cite></li>
	<li data-footnote-id=""7pa01"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>&ldquo;De ontrechting der Joden in Duitschland&rdquo;, <em>Algemeen Handelsblad</em>, 19 september 1935, ochtendeditie.</cite></li>
	<li data-footnote-id=""3x7w5"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>&ldquo;De heer Mussert aan het woord&rdquo;, <em>Het Vaderland</em>, 28 mei 1937, ochtendeditie.</cite></li>
	<li data-footnote-id=""fyjj5"" id=""footnote-4""><sup><a href=""#footnote-marker-4-1"">^</a> </sup><cite>&ldquo;Eenheid door Democratie houdt propagandavergadering&rdquo;, <em>Algemeen Handelsblad</em>, 15 november 1938, ochtendeditie.</cite></li>
	<li data-footnote-id=""yctjw"" id=""footnote-5""><sup><a href=""#footnote-marker-5-1"">^</a> </sup><cite>Hansje Galesloot, &#39;Bevroren borstplaat&#39;, in: <em>Ons Amsterdam</em>, 179 (2008) 1 (januari), p. 26-29.</cite></li>
	<li data-footnote-id=""crda7"" id=""footnote-6""><sup><a href=""#footnote-marker-6-1"">^</a> </sup><cite>Familiearchief Anne Frank-Fonds (AFF), Bazel, Alice Frank, AFF_AlF_corr_18: Anne Frank aan Alice Frank-Stern en Stephan Elias, 13 december 1940.</cite></li>
	<li data-footnote-id=""523p1"" id=""footnote-7""><sup><a href=""#footnote-marker-7-1"">^</a> </sup><cite>AFF, Alice Frank, AFF_AlF_corr_18: Anne Frank aan Alice Frank-Stern en Stephan Elias, 13 januari 1941.</cite></li>
</ol>
</section>",https://research.annefrank.org/media/010016000133.jpg,"Apollohal, 1934"
6,52.37672,4.89712,Arc’s Advertentie- en Uitgeversbedrijf N.V.,"<p>Arc&#39;s Advertentie- en Uitgeversbedrijf N.V. was located at Damrak 19-22, Amsterdam.<sup data-footnote-id=""iic19""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup> Telephone 44462.<sup data-footnote-id=""iic19""><a href=""#footnote-1"" id=""footnote-marker-1-2"" rel=""footnote"">[1]</a></sup> This number also appeared with the addition &#39;Arc&#39; in Otto Frank&#39;s <strong>1937</strong> diary.<sup data-footnote-id=""kw4di""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup></p>

<p>Arc&#39;s had been founded <strong>in the late 1920s</strong>. Precisely because the business world was in great trouble during those years, the agency was able to thrive: advertisers were quicker to adopt a new approach.<sup data-footnote-id=""g2nij""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup></p>

<p>In the summer of <strong>1936</strong>, Opekta combined an advertising campaign with a promotion in the newspaper&nbsp;<em>De Telegraaf. </em>Anyone who came in person to the newspaper&#39;s counters to submit a &#39;Speurder&#39; classified advert costing at least a guilder, published between <strong>28 June</strong> and <strong>4 July</strong> that year, received an&nbsp;Opekta preserving package free of charge. These packages had been made available by the Nederlandsche Opekta Mij. The advertisement announcing this had Arc&#39;s company&#39;s logo in the margin.<sup data-footnote-id=""n2msa""><a href=""#footnote-4"" id=""footnote-marker-4-1"" rel=""footnote"">[4]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""iic19"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">a</a>, <a href=""#footnote-marker-1-2"">b</a> </sup><cite><em>Algemeen Adresboek voor de stad Amsterdam</em> 1938, p. 40.</cite></li>
	<li data-footnote-id=""kw4di"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>Anne Frank Stichting, Anne Frank Collectie, Otto Frank Archief, reg. code OFA_001: Agenda Otto Frank 1937.</cite></li>
	<li data-footnote-id=""g2nij"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>R.P.M.&nbsp;van Rossum, <em>Van advertentiekruier tot reclameadviesbureau. De ontwikkeling in Nederland, de Verenigde Staten en Duitsland voor de Tweede Wereldoorlog</em>,&nbsp;dissertatie&nbsp;Universiteit van Amsterdam, 2012, p. 244.</cite></li>
	<li data-footnote-id=""n2msa"" id=""footnote-4""><sup><a href=""#footnote-marker-4-1"">^</a> </sup><cite>Advertentie &quot;Surpriseweek&quot;, <em>De Telegraaf</em>, 27 juni 1936. &nbsp;</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
