Cod,cep,municipio,nivel,sigla,total,em_territorio_quilombola,fora_territorio_quilombola
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1100015,Alta Floresta D'Oeste,Alta Floresta D'Oeste,MU,RO,115,0,115
1100023,Ariquemes,Ariquemes,MU,RO,0,0,0
1100031,Cabixi,Cabixi,MU,RO,6,0,6
1100049,Cacoal,Cacoal,MU,RO,0,0,0
1100056,Cerejeiras,Cerejeiras,MU,RO,37,0,37
1100064,Colorado do Oeste,Colorado do Oeste,MU,RO,0,0,0
1100072,Corumbiara,Corumbiara,MU,RO,12,0,12
1100080,Costa Marques,Costa Marques,MU,RO,1345,58,1287
1100098,Espigão D'Oeste,Espigão D'Oeste,MU,RO,0,0,0
1100106,Guajará-Mirim,Guajará-Mirim,MU,RO,494,0,494
1100114,Jaru,Jaru,MU,RO,0,0,0
1100122,Ji-Paraná,Ji-Paraná,MU,RO,0,0,0
1100130,Machadinho D'Oeste,Machadinho D'Oeste,MU,RO,0,0,0
1100148,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,MU,RO,0,0,0
1100155,Ouro Preto do Oeste,Ouro Preto do Oeste,MU,RO,0,0,0
1100189,Pimenta Bueno,Pimenta Bueno,MU,RO,0,0,0
1100205,Porto Velho,Porto Velho,MU,RO,95,0,95
1100254,Presidente Médici,Presidente Médici,MU,RO,0,0,0
1100262,Rio Crespo,Rio Crespo,MU,RO,0,0,0
1100288,Rolim de Moura,Rolim de Moura,MU,RO,0,0,0
1100296,Santa Luzia D'Oeste,Santa Luzia D'Oeste,MU,RO,0,0,0
1100304,Vilhena,Vilhena,MU,RO,0,0,0
1100320,São Miguel do Guaporé,São Miguel do Guaporé,MU,RO,31,0,0
1100338,Nova Mamoré,Nova Mamoré,MU,RO,16,0,16
1100346,Alvorada D'Oeste,Alvorada D'Oeste,MU,RO,0,0,0
1100379,Alto Alegre dos Parecis,Alto Alegre dos Parecis,MU,RO,0,0,0
1100403,Alto Paraíso,Alto Paraíso,MU,RO,0,0,0
1100452,Buritis,Buritis,MU,RO,0,0,0
1100502,Novo Horizonte do Oeste,Novo Horizonte do Oeste,MU,RO,0,0,0
1100601,Cacaulândia,Cacaulândia,MU,RO,0,0,0
1100700,Campo Novo de Rondônia,Campo Novo de Rondônia,MU,RO,0,0,0
1100809,Candeias do Jamari,Candeias do Jamari,MU,RO,0,0,0
1100908,Castanheiras,Castanheiras,MU,RO,0,0,0
1100924,Chupinguaia,Chupinguaia,MU,RO,0,0,0
1100940,Cujubim,Cujubim,MU,RO,0,0,0
1101005,Governador Jorge Teixeira,Governador Jorge Teixeira,MU,RO,0,0,0
1101104,Itapuã do Oeste,Itapuã do Oeste,MU,RO,0,0,0
1101203,Ministro Andreazza,Ministro Andreazza,MU,RO,0,0,0
