FID,Cod,Aldeia,cod_ti,cod_municipio,data_cadastro,flag_ativo,nome_cr,the_geom,Municipio,nomuf,sigla,undadm_codigo,Latitude,Longitude
aldeias_pontos.1,2,Apikay,11101,5003702,,A,COORDENACAO REGIONAL DE DOURADOS,POINT (-55.136388888889 -23.741388888889),Dourados,Mato Grosso do Sul,MS,30202002011,-23.74138889,-55.13638889
aldeias_pontos.2,5,Anambé,1801,1504703,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-49.350694444444 -2.8459722222222),Moju,Pará,PA,30202001906,-2.845972222,-49.35069444
aldeias_pontos.3,6,Trocará,46301,1508100,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-49.655666666667 -3.5873055555556),Tucuruí,Pará,PA,30202001906,-3.587305556,-49.65566667
aldeias_pontos.4,9,Oimotawara,46301,1508100,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-49.768027777778 -3.6418333333333),Tucuruí,Pará,PA,30202001906,-3.641833333,-49.76802778
aldeias_pontos.5,10,Ororitawa,46301,1501204,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-49.809888888889 -3.6105),Baião,Pará,PA,30202001906,-3.6105,-49.80988889
aldeias_pontos.6,11,Marawitawa,46301,1508100,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-49.661833333333 -3.5458055555556),Tucuruí,Pará,PA,30202001906,-3.545805556,-49.66183333
aldeias_pontos.7,12,Kateté,50501,1505536,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-50.8036666667 -6.26169444444),Parauapebas,Pará,PA,30202001906,-6.261694444,-50.80366667
aldeias_pontos.8,13,Djudjê-Kô,50501,1505536,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-50.907083333333 -6.3080555555556),Parauapebas,Pará,PA,30202001906,-6.308055556,-50.90708333
aldeias_pontos.9,14,Ô-Odjà,50501,1505536,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-50.508972222222 -6.4233611111111),Parauapebas,Pará,PA,30202001906,-6.423361111,-50.50897222
aldeias_pontos.10,15,Sororó,43201,1507458,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.639444444444 -5.93275),São Geraldo do Araguaia,Pará,PA,30202001906,-5.93275,-48.63944444
aldeias_pontos.11,16,Itahy,43201,1507458,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.6285 -5.9972222222222),São Geraldo do Araguaia,Pará,PA,30202001906,-5.997222222,-48.6285
aldeias_pontos.12,17,Yetá,43201,1501758,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.631569444444 -5.9699888888889),Brejo Grande do Araguaia,Pará,PA,30202001906,-5.969988889,-48.63156944
aldeias_pontos.13,18,Ipirahy,43201,1507458,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.758888888889 -5.9852777777778),São Geraldo do Araguaia,Pará,PA,30202001906,-5.985277778,-48.75888889
aldeias_pontos.14,19,Tukapehy,43201,1507458,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.718930555556 -6.0069444444444),São Geraldo do Araguaia,Pará,PA,30202001906,-6.006944444,-48.71893056
aldeias_pontos.15,20,Parkatejê,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.896236111111 -5.1643055555556),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.164305556,-48.89623611
aldeias_pontos.16,21,Kyikatejê,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.939055555556 -5.16225),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.16225,-48.93905556
aldeias_pontos.17,22,Akrãtikatejê,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-49.017125 -5.1824305555556),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.182430556,-49.017125
aldeias_pontos.18,23,Akrãkaprêkti,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.873333333333 -5.1546388888889),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.154638889,-48.87333333
aldeias_pontos.19,24,Krijamretijê,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.974416666667 -5.1774166666667),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.177416667,-48.97441667
aldeias_pontos.20,25,Koyakati,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.990722222222 -5.1878888888889),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.187888889,-48.99072222
aldeias_pontos.21,26,Akrotikatejê,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.848458333333 -5.1406944444444),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.140694444,-48.84845833
aldeias_pontos.22,27,Krãpeitijê,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.937916666667 -5.1686166666667),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.168616667,-48.93791667
aldeias_pontos.23,28,Akrãti,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-49.004444444444 -5.2172222222222),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.217222222,-49.00444444
aldeias_pontos.24,29,Krijôhêrekatejê,26001,1501576,,A,COORDENACAO REGIONAL DO BAIXO TOCANTINS,POINT (-48.899444444444 -5.1643222222222),Bom Jesus do Tocantins,Pará,PA,30202001906,-5.164322222,-48.89944444
aldeias_pontos.25,30,Guyraroká,15101,5002407,,A,COORDENACAO REGIONAL DE DOURADOS,POINT (-54.655555555556 -22.489444444444),Caarapó,Mato Grosso do Sul,MS,30202002011,-22.48944444,-54.65555556
aldeias_pontos.26,31,Te´Yi Kuê,7201,5002407,,A,COORDENACAO REGIONAL DE DOURADOS,POINT (-54.965277777778 -22.595833333333),Caarapó,Mato Grosso do Sul,MS,30202002011,-22.59583333,-54.96527778
aldeias_pontos.27,32,Jarará,18901,5005152,,A,COORDENACAO REGIONAL DE DOURADOS,POINT (-54.6075 -22.922777777778),Juti,Mato Grosso do Sul,MS,30202002011,-22.92277778,-54.6075
aldeias_pontos.28,33,Panambi - Lagoa Rica,64801,5003504,,A,COORDENACAO REGIONAL DE DOURADOS,POINT (-54.645 -21.993888888889),Douradina,Mato Grosso do Sul,MS,30202002011,-21.99388889,-54.645
aldeias_pontos.29,34,Panambizinho,32101,5003702,,A,COORDENACAO REGIONAL DE DOURADOS,POINT (-54.683055555556 -22.118055555556),Dourados,Mato Grosso do Sul,MS,30202002011,-22.11805556,-54.68305556
