Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
11000490002,Avenida 07 de Setembro - Cacoal (RO),RO,Avenida 07 de Setembro,Cacoal,29
11000490006,Vitória - Cacoal (RO),RO,Vitória,Cacoal,204
11001060003,Santa Luzia - Guajará-Mirim (RO),RO,Santa Luzia,Guajará-Mirim,214
11001060004,Nossa Senhora de Fátima - Guajará-Mirim (RO),RO,Nossa Senhora de Fátima,Guajará-Mirim,194
11001060005,Jardim das Esmeraldas - Guajará-Mirim (RO),RO,Jardim das Esmeraldas,Guajará-Mirim,401
11001060006,Triângulo Novo - Guajará-Mirim (RO),RO,Triângulo Novo,Guajará-Mirim,256
11002050002,Nova Esperança - Porto Velho (RO),RO,Nova Esperança,Porto Velho,647
11002050003,Aponiã A - Porto Velho (RO),RO,Aponiã A,Porto Velho,787
11002050004,Areia Branca - Porto Velho (RO),RO,Areia Branca,Porto Velho,639
11002050005,Baixa da União - Porto Velho (RO),RO,Baixa da União,Porto Velho,164
11002050006,Cidade Nova II - Porto Velho (RO),RO,Cidade Nova II,Porto Velho,2760
11002050007,Eletronorte - Porto Velho (RO),RO,Eletronorte,Porto Velho,387
11002050008,Esperança da Comunidade - Porto Velho (RO),RO,Esperança da Comunidade,Porto Velho,623
11002050009,Floresta III - Porto Velho (RO),RO,Floresta III,Porto Velho,314
11002050010,Jardim Santana IV - Porto Velho (RO),RO,Jardim Santana IV,Porto Velho,289
11002050011,Maringá - Porto Velho (RO),RO,Maringá,Porto Velho,629
11002050012,Mato Grosso - Porto Velho (RO),RO,Mato Grosso,Porto Velho,130
11002050013,Mocambo - Porto Velho (RO),RO,Mocambo,Porto Velho,325
11002050014,Nacional - Porto Velho (RO),RO,Nacional,Porto Velho,2978
11002050016,Novo Horizonte - Porto Velho (RO),RO,Novo Horizonte,Porto Velho,1823
11002050017,Fora do Perímetro VI - Porto Velho (RO),RO,Fora do Perímetro VI,Porto Velho,1136
11002050018,Planalto III - Porto Velho (RO),RO,Planalto III,Porto Velho,404
11002050019,Cidade Jardim IV - Porto Velho (RO),RO,Cidade Jardim IV,Porto Velho,435
11002050020,Roque A - Porto Velho (RO),RO,Roque A,Porto Velho,285
11002050021,Roque III - Porto Velho (RO),RO,Roque III,Porto Velho,224
11002050022,São Sebastião III - Porto Velho (RO),RO,São Sebastião III,Porto Velho,233
11002050023,Teixeirão - Porto Velho (RO),RO,Teixeirão,Porto Velho,347
11002050024,Três Marias II - Porto Velho (RO),RO,Três Marias II,Porto Velho,281
11002050025,Triângulo - Porto Velho (RO),RO,Triângulo,Porto Velho,466
11002050026,Tucumanzal - Porto Velho (RO),RO,Tucumanzal,Porto Velho,250
11002050031,Cidade Jardim III - Porto Velho (RO),RO,Cidade Jardim III,Porto Velho,108
